q,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,"Participation Invitation
We kindly invite you to share your experiences and opinions by completing this survey. The questionnaire will only take a few minutes of your time, and your insights will play a key role in enhancing the relevance and appeal of YNE’s free training programs.
Before we proceed, please confirm your consent to participate by answering the following question:
Do you consent to participate in this online survey?",Age,Gender,Sub City ,Education Level ,Employment Status,Do you have a Telegram account? ,Have you ever heard about The Youth Network Ethiopia (YNE)?,"If yes, how did you first learn about YNE? (Check all that apply)","If your answer to Question 2 is YES, and you were to participate in YNE training, which factors would be most important to you?",How do you access the internet? (Select all that apply),Which social media platforms have you used for online training purposes? (Select all that apply),How likely are you to join a free online training program offered by YNE?,What would be the most significant barriers for you to participate in free training sessions? (Select all that apply),Would you be interested in training sessions on the following topics? (Select all that apply),What motivates you to consider joining a free training program? (Select all that apply),What type of training delivery do you prefer? (Select all that apply),What is your preferred time for attending online training sessions?,How often would you prefer  free online training sessions to be offered?,Would you be more likely to attend free training sessions if they offered certification?,What topics or skills would you like free online training sessions to focus on?,How do you evaluate the overall questionnaire preparation?,What feedback and recommendations do you have for improving the questionnaire?,Area of Collection
1/16/2025 11:15:55,"Yes, I consent to participate.",21,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Instagram,3,"Lack of awareness, Poor internet access",Entrepreneurship and business management,To improve career prospects,"Pre-recorded videos, Discussion forums or group chats",Evening (4 PM–8 PM),Weekly,4,Digital skills ,4,Good,
1/16/2025 11:29:51,"Yes, I consent to participate.",23,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,5,Lack of awareness,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,1,Personal development,5,It might be more helpfull if the website training ,
1/16/2025 11:34:03,"Yes, I consent to participate.",22,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,3,Lack of time,Entrepreneurship and business management,"To gain new skills, To improve career prospects",Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,5,Digital skill,5,Great,
1/16/2025 11:35:16,"Yes, I consent to participate.",22,Female,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Snap,5,"Lack of time, Topics not aligning with personal/career interests","Career development, Digital skills","Networking opportunities, Certification upon completion","Live sessions with Q&A, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,1,Wedding planner,5,Good continue ,
1/16/2025 11:40:14,"Yes, I consent to participate.",21,Female,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,2,Business ,5,Great ,
1/16/2025 11:41:32,"Yes, I consent to participate.",22,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,3,"Poor internet access, Topics not aligning with personal/career interests",Entrepreneurship and business management,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,1,None,4,None,
1/16/2025 11:54:31,"Yes, I consent to participate.",23,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Tiktok ,1,"Lack of awareness, Topics not aligning with personal/career interests","Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Certification upon completion","Pre-recorded videos, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Bi-weekly,1,Self improvement ,4,None,
1/16/2025 11:59:37,"Yes, I consent to participate.",22,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, Twitter/X",2,Lack of awareness,Digital skills,"To gain new skills, Personal interest",Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,2,Digial skill,4,Very interested have a good idea,
1/16/2025 12:02:00,"Yes, I consent to participate.",21,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Google ,5,Lack of awareness,Career development,To gain new skills,In-person training sessions (if applicable),Evening (4 PM–8 PM),Weekly,2,"Web development, fronting, backing",4,No recommendations ,
1/16/2025 12:05:46,"Yes, I consent to participate.",23,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,1,Lack of awareness,Entrepreneurship and business management,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,1,Entrepreneurship and personal development ,5,It is very good i have no complaints ,
1/16/2025 12:10:02,"Yes, I consent to participate.",23,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,None of the above,3,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Morning (8 AM–12 PM),Weekly,4,Digital marketing,4,Over all its good,
1/16/2025 12:10:32,"Yes, I consent to participate.",21,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,3,Lack of awareness,"Digital skills, Entrepreneurship and business management","To improve career prospects, Certification upon completion","Pre-recorded videos, Virtual workshops or webinars",Evening (4 PM–8 PM),Two or three times a week,2,Online business ,5,Not recommended ,
1/16/2025 12:13:28,"Yes, I consent to participate.",23,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Instagram,3,Poor internet access,Entrepreneurship and business management,Personal interest,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,4,Marketing,4,Great,
1/16/2025 12:40:29,"Yes, I consent to participate.",19,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,"Telegram, YouTube",3,Lack of time,"Career development, Digital skills, Entrepreneurship and business management","To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Discussion forums or group chats",Evening (4 PM–8 PM),Bi-weekly,1,Digital skills,4,Good,
1/16/2025 12:41:04,"Yes, I consent to participate.",20,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,1,Lack of time,Entrepreneurship and business management,To gain new skills,In-person training sessions (if applicable),Evening (4 PM–8 PM),Weekly,2,Bussines ,3,Good,
1/16/2025 12:45:11,"Yes, I consent to participate.",20,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,"Telegram, Instagram",3,Lack of time,Entrepreneurship and business management,To gain new skills,Live sessions with Q&A,Afternoon (12 PM–4 PM),Weekly,5,Digital skill,5,Good,
1/16/2025 13:19:20,"Yes, I consent to participate.",22,Female,Kirkos,Tertiary Education (Undergraduate),Student,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,"Mobile data, Home Wi-Fi","LinkedIn, Telegram, WhatsApp, YouTube, Facebook, Instagram",3,"Lack of awareness, Poor internet access, Lack of time",Digital skills,"To gain new skills, To improve career prospects, Personal interest","Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Weekly,3,Digital skill,2,Improve strategy ,
1/16/2025 13:28:45,"Yes, I consent to participate.",23,Male,Bole,Secondary Education (Grades 9–12),Full time,Yes,No,,,Public Wi-Fi,Not taken,1,Not important ,Digital skills,"To improve career prospects, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Discussion forums or group chats, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Weekend ,1,IT and digital tech course ,5,Detailed explanation some people might not understand ,
1/16/2025 13:35:01,"Yes, I consent to participate.",19,Male,Bole,Secondary Education (Grades 9–12),Full time,Yes,No,,,Mobile data,"Telegram, WhatsApp, YouTube, Facebook, Instagram",1,Lack of awareness,"Career development, Entrepreneurship and business management",To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Daily,1,Technology based,5,I have no clue keep going ,
1/16/2025 13:43:21,"Yes, I consent to participate.",22,Male,Bole,Primary Education (Grades 1–8),Full time,Yes,No,,,Mobile data,Telegram,3,"Lack of awareness, Lack of time",Personal development,To improve career prospects,"Reading materials (e.g., PDFs, guides)",Morning (8 AM–12 PM),Weekly,1,Self development ,5,Keep it up,
1/16/2025 13:55:21,"Yes, I consent to participate.",22,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Telegram,2,"Lack of awareness, Lack of time, Topics not aligning with personal/career interests","Career development, Entrepreneurship and business management","To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,1,Technical courses ,4,No recommendations ,
1/16/2025 14:21:41,"Yes, I consent to participate.",30,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"YouTube, Tiktok ",1,"Poor internet access, Topics not aligning with personal/career interests","Entrepreneurship and business management, Personal development",Networking opportunities,"Live sessions with Q&A, Pre-recorded videos, Interactive quizzes or activities, Discussion forums or group chats",Evening (4 PM–8 PM),Daily,2,Digital marketing ,4,Very good,
1/16/2025 14:31:27,"Yes, I consent to participate.",23,Female,Gullele,Tertiary Education (Undergraduate),Student,No,No,,,Mobile data,YouTube,5,Lack of time,Digital skills,Personal interest,Self-paced online modules,Afternoon (12 PM–4 PM),Monthly,5,Idk,1,Nothing ,
1/16/2025 14:33:32,"Yes, I consent to participate.",21,Female,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,Personal development,To gain new skills,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,3,I don't known ,3,Nothing ,
1/16/2025 14:40:53,"Yes, I consent to participate.",22,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Telegram,2,Lack of time,"Digital skills, Entrepreneurship and business management",To gain new skills,"Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,3,Video editing ,3,Non,
1/16/2025 14:42:07,"Yes, I consent to participate.",23,Male,Akaki Kaliti,Tertiary Education (Undergraduate),Student,Yes,Yes,Friends/Peers,Interactive sessions,Mobile data,Telegram,2,Poor internet access,"Digital skills, Entrepreneurship and business management","To gain new skills, To improve career prospects, Networking opportunities, Certification upon completion","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Discussion forums or group chats, Self-paced online modules",Afternoon (12 PM–4 PM),Weekly,3,Entrepreneurship and business management ,5,Its a well prepared questionnaire,
1/16/2025 14:46:53,"Yes, I consent to participate.",23,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, Instagram",1,"Lack of awareness, Lack of time","Career development, Entrepreneurship and business management","To gain new skills, To improve career prospects","Pre-recorded videos, Podcasts or audio materials",Evening (4 PM–8 PM),Bi-weekly,2,Photography ,5,Make it short,
1/16/2025 14:55:49,"Yes, I consent to participate.",22,Male,Addis Ketema,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,Personal development,To gain new skills,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,3,Personal development ,4,No recommendation,
1/16/2025 14:56:29,"Yes, I consent to participate.",20,Male,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,Entrepreneurship and business management,Networking opportunities,Virtual workshops or webinars,Evening (4 PM–8 PM),Weekly,1,Enterpreneurship ,5,Its perfect ,
1/16/2025 15:00:41,"Yes, I consent to participate.",20,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,5,I wouldn't wanna join a free training program ,No!,Literally nothing.,"Live sessions with Q&A, None of the above",Evening (4 PM–8 PM),Neither,5,Art ,1,I don't have any interest in this,
1/16/2025 15:01:09,"Yes, I consent to participate.",21,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,3,Lack of time,Entrepreneurship and business management,Networking opportunities,Virtual workshops or webinars,Evening (4 PM–8 PM),Weekly,3,Entrepreneurship,3,It's good ,
1/16/2025 15:03:12,"Yes, I consent to participate.",20,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,3,Lack of time,Digital skills,To improve career prospects,Live sessions with Q&A,Afternoon (12 PM–4 PM),Weekly,1,Nothing,3,It's good,
1/16/2025 15:10:00,"Yes, I consent to participate.",21,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,Yes,Friends/Peers,Flexible scheduling,Home Wi-Fi,Instagram,3,"Lack of awareness, Poor internet access",Digital skills,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,4,Personal development ,3,Nice,
1/16/2025 15:12:02,"Yes, I consent to participate.",22,Male,Bole,"Postgraduate Education (Master’s, Doctoral Level)",Part time,Yes,No,,,Home Wi-Fi,"Telegram, YouTube, Instagram",5,Topics not aligning with personal/career interests,Entrepreneurship and business management,To gain new skills,Interactive quizzes or activities,Morning (8 AM–12 PM),Bi-weekly,4,Digital marketing ,4,Its good,
1/16/2025 15:15:19,"Yes, I consent to participate.",22,Male,Lemi Kura,Tertiary Education (Undergraduate),Full time,Yes,No,,,Home Wi-Fi,LinkedIn,3,Lack of time,Personal development,To gain new skills,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,3,Digital skill,4,It's not more ditail,
1/16/2025 15:20:07,"Yes, I consent to participate.",23,Female,Kirkos,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, Instagram",5,Topics not aligning with personal/career interests,Digital skills,To gain new skills,Discussion forums or group chats,Evening (4 PM–8 PM),Bi-weekly,3,Virtual workshops,5,Its good,
1/16/2025 15:20:48,"Yes, I consent to participate.",22,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","WhatsApp, Instagram, Twitter/X",2,Poor internet access,Entrepreneurship and business management,"To gain new skills, Networking opportunities","Interactive quizzes or activities, Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,3,Entrepreneur and business managment ,4,It was very well organized ,
1/16/2025 15:24:24,"Yes, I consent to participate.",20,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Relevant topics,Mobile data,Telegram,2,Lack of awareness,Career development,To improve career prospects,Self-paced online modules,Afternoon (12 PM–4 PM),Weekly,1,Digital skill,4,Great,
1/16/2025 15:26:08,"Yes, I consent to participate.",21,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Instagram,2,Poor internet access,Digital skills,To improve career prospects,Pre-recorded videos,Afternoon (12 PM–4 PM),Weekly,1,Marketing,2,Ok,
1/16/2025 15:50:10,"Yes, I consent to participate.",22,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,2,"Lack of time, Topics not aligning with personal/career interests",Entrepreneurship and business management,"To gain new skills, Networking opportunities, Certification upon completion","Live sessions with Q&A, Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,3,Content writing and making ,5,Better use qrcode for collection(by sending link to telegram volunteers fill the forms and send back) instead of personal interviews ,
1/17/2025 7:58:56,"Yes, I consent to participate.",23,Female,Ledeta,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,None of the above,5,Lack of time,Personal development,Personal interest,"Reading materials (e.g., PDFs, guides)",Afternoon (12 PM–4 PM),Weekly,3,Computer courses ,5,Good job,Gerji
1/17/2025 8:48:17,"Yes, I consent to participate.",22,Male,Gullele,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"Telegram, YouTube",1,Lack of time,Personal development,To improve career prospects,Podcasts or audio materials,Afternoon (12 PM–4 PM),Weekly,1,Marketing,5,Nice work ,Gerji
1/17/2025 8:52:44,"Yes, I consent to participate.",22,Male,Akaki Kaliti,Tertiary Education (Undergraduate),Student,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,Mobile data,"YouTube, Instagram",1,Lack of time,Personal development,Personal interest,Podcasts or audio materials,Morning (8 AM–12 PM),Weekly,1,Enterpreneurship ,5,Good ,Gerji
1/17/2025 8:59:01,"Yes, I consent to participate.",21,Male,Bole,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,Telegram,5,Lack of time,Personal development,Personal interest,Pre-recorded videos,Evening (4 PM–8 PM),Monthly,5,Business related ,5,"No feedback 
",Gerji
1/17/2025 9:19:35,"Yes, I consent to participate.",22,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",3,"Lack of awareness, Poor internet access, Lack of time, Topics not aligning with personal/career interests","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Podcasts or audio materials, Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,1,Online businesses ,5,No feedback ,Gerji
1/17/2025 9:34:57,"Yes, I consent to participate.",22,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Easy access to training materials,"Mobile data, Home Wi-Fi","Telegram, YouTube, Instagram",2,"Lack of awareness, Topics not aligning with personal/career interests",Digital skills,"To gain new skills, To improve career prospects","Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Weekly,3,Self improvement,4,Keep it up,Gerji
1/17/2025 9:57:54,"Yes, I consent to participate.",19,Male,Bole,Vocational/Technical Education,Student,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,Home Wi-Fi,Telegram,4,Poor internet access,"Career development, ",Networking opportunities,"Reading materials (e.g., PDFs, guides)",Afternoon (12 PM–4 PM),Weekly,4,Gaphic,4,Good,Gerji
1/17/2025 9:59:55,"Yes, I consent to participate.",21,Male,Akaki Kaliti,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Instagram,3,Lack of awareness,"Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, Personal interest, Networking opportunities, Certification upon completion","Pre-recorded videos, Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Weekly,2,Computing video editing ,5,Nothing very good,Gerji
1/17/2025 10:08:10,"Yes, I consent to participate.",21,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube, Instagram, Twitter/X",5,Lack of time,Digital skills,Networking opportunities,Pre-recorded videos,Afternoon (12 PM–4 PM),Bi-weekly,2,Programming ,5,No feedback so far,Gerji
1/17/2025 10:08:48,"Yes, I consent to participate.",21,Male,Bole,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,YouTube,1,Poor internet access,"Digital skills, Entrepreneurship and business management",To gain new skills,Live sessions with Q&A,Afternoon (12 PM–4 PM),Weekly,1,Copywriting,5,Its very good,Gerji
1/17/2025 10:55:56,"Yes, I consent to participate.",21,Female,Akaki Kaliti,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",2,Topics not aligning with personal/career interests,Digital skills,"To gain new skills, Personal interest, Networking opportunities","Live sessions with Q&A, Interactive quizzes or activities, Podcasts or audio materials, Virtual workshops or webinars",Afternoon (12 PM–4 PM),Bi-weekly,1,Digital,5,Excellent ,Gerji
1/17/2025 10:56:32,"Yes, I consent to participate.",21,Female,Akaki Kaliti,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,1,Lack of awareness,Digital skills,To gain new skills,Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,1,Digital skill,4,It is good,Gerji
1/17/2025 11:06:24,"Yes, I consent to participate.",20,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Public Wi-Fi,YouTube,2,Lack of time,Personal development,To gain new skills,Podcasts or audio materials,Afternoon (12 PM–4 PM),Daily,2,Forex,5,Continue,Gerji
1/17/2025 11:06:56,"Yes, I consent to participate.",21,Male,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,3,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,2,Cyber ,3,good,Gerji
1/17/2025 11:10:19,"Yes, I consent to participate.",40,Female,Bole,Vocational/Technical Education,Full time,No,No,,,"Mobile data, ",None of the above,3,Lack of time,Entrepreneurship and business management,Networking opportunities,"Live sessions with Q&A, Virtual workshops or webinars",Evening (4 PM–8 PM),Daily,2,"How to scale my business, calculate cost & profiy",4,Good,Gerji
1/17/2025 11:11:47,"Yes, I consent to participate.",21,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Full time,Yes,Yes,Friends/Peers,Easy access to training materials,Home Wi-Fi,Telegram,2,Lack of time,Digital skills,Certification upon completion,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,1,Graphics geshign ,5,No recommendations ,Gerji
1/17/2025 11:18:33,"Yes, I consent to participate.",23,Male,Kirkos,Completed Degree,Student,Yes,No,,,Home Wi-Fi,None of the above,3,"Lack of awareness, Lack of time","Entrepreneurship and business management, Personal development","To gain new skills, Personal interest, Networking opportunities","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Self-paced online modules, Virtual workshops or webinars, In-person training sessions (if applicable)",Evening (4 PM–8 PM),Monthly,3,It,5,No recommendations ,Gerji
1/17/2025 11:23:02,"Yes, I consent to participate.",37,Male,Bole,Completed Degree,Full time,Yes,No,,,Mobile data,WhatsApp,4,Lack of time,Personal development,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,4,Business ,4,It was good ,Gerji
1/17/2025 11:30:36,"Yes, I consent to participate.",21,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,4,Topics not aligning with personal/career interests,Personal development,To gain new skills,In-person training sessions (if applicable),Morning (8 AM–12 PM),Weekly,4,Online courses ,5,Only encouragement ,Gerji
1/17/2025 11:32:02,"Yes, I consent to participate.",23,Male,Gullele,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,"LinkedIn, Telegram, YouTube, Facebook, Twitter/X",5,Topics not aligning with personal/career interests,"Career development, Digital skills, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities","Podcasts or audio materials, In-person training sessions (if applicable)",Afternoon (12 PM–4 PM),Weekly,5,Skill development,5,No comment,Gerji
